District,Taluka,Infant Mortality Rate,Normalized IMR,Maternal Mortality Rate,Normalized MMR,ANC_IMR,ANC_MMR,Stress (ANC-20%),Stress (ANC+20%)
Kalburgi,Afzalpur,5.56,0.9425821736,60.09135651,0.7990128418,20.00,13.9028,0.1131430662,0.1183354248
Chikkamagaluru,Ajjampura,13.67,0.8587673616,13.66835765,0.9648783679,15.92,2.2157,0.2530219463,0.2529068949
Kalburgi,Aland,10.47,0.8918626893,53.06145425,0.8241300997,27.93,9.9762,0.1114688457,0.1075416172
Dharwad,Alnavara,39.51,0.5918687406,67.95423187,0.77091944,15.18,5.6245,0.04891008514,0.0491568612
Hassan,Alur,36.38,0.6241831007,43.69520441,0.8575949339,10.94,5.6964,0.1849569375,0.1856259004
Bengaluru (Urban),Anekal,13.14,0.864216056,3.838397655,1,4.56,3.7115,0.06577276798,0.06531077783
Uttara Kannada,Ankola,7.55,0.9219673829,15.95917854,0.9566934548,22.45,6.3934,0.2249728834,0.235458055
Dharwad,ANNIGERI,39.50,0.5919337682,87.56829406,0.700840022,6.96,5.7854,0.2534973662,0.2532218626
Hassan,Arkalgud,26.95,0.7216603195,248.2033859,0.1269041568,10.53,4.4691,0.6888501285,0.6884597516
Hassan,Arsikere,89.97,0.07067186451,75.80204203,0.742879865,17.33,7.5669,0.7770105769,0.7926473969
Belagavi,Athani,6.90,0.9287732137,180.766089,0.3678520274,23.22,17.7533,0.4220055036,0.4200295008
Bidar,Aurad,29.41,0.6962139859,19.72845838,0.9432261304,22.59,18.8963,0.162870447,0.1517329585
Vijayapura,Babaleshwara,0.67,0.9930311646,41.04314984,0.867070505,19.48,12.8042,0.2162975775,0.2195715162
Bagalkot,Badami,14.07,0.8546785315,54.83053913,0.8178093062,17.22,12.8292,0.1545279727,0.1612843687
Bagalkot,Bagalkote,6.87,0.9290528526,39.92079247,0.8710805949,11.75,9.4146,0.121414271,0.1335071186
Chikkaballapura,Bagepalli,17.19,0.8224234371,58.72530712,0.803893623,2.13,1.1211,0.2386793401,0.2385923613
Belagavi,Bailhongal,39.90,0.5878629632,52.10944952,0.8275315337,18.52,7.2747,0.2367192441,0.2412841897
Ballari,Ballari,51.77,0.4651982561,225.2879756,0.208779018,34.38,17.4673,0.36980859,0.3772309396
Bengaluru (Urban),Bangalore_North,37.37,0.6139323768,5.99263843,0.9923030763,2.56,0.6431,0.1228582163,0.1240594013
Bengaluru (Urban),Bangalore_East,8.28,0.9144733841,3.838397655,1,0.57,4.7177,0.1378588452,0.1437088226
Bengaluru (Urban),Bangalore_South,10.90,0.8874033124,7.206711415,0.9879652942,6.11,4.4444,0.3086256338,0.3056291986
Kolara,BANGARPET,1.56,0.9838721239,27.14848309,0.9167149973,11.41,1.7382,0.02247488968,0.01156814631
Dakshina Kannada,Bantwal,1.05,0.9891446988,53.00284897,0.8243394916,6.46,8.7766,0.1088767145,0.1111386836
Bidar,Basavakalyan,25.23,0.7394106942,19.52723036,0.9439451015,21.23,11.4881,0.0823036437,0.08241401522
Vijayapura,Basavan_Bagewadi,12.20,0.8739695293,133.0266235,0.5384211798,30.53,32.1421,0.2317444994,0.2291687454
Belagavi,Belagavi,34.19,0.6468023792,77.71855064,0.7360323386,15.20,10.1427,0.08422554617,0.08141996375
Dakshina Kannada,Belthangady,6.67,0.9310555695,102.4453443,0.647685555,10.41,12.1825,0.154059431,0.1543913619
Hassan,Belur,12.60,0.8698757141,43.69520441,0.8575949339,10.71,3.8627,0.1646014136,0.1653481476
Shivamogga,Bhadravathi,3.69,0.9618656587,30.92107396,0.9032358429,11.42,10.2202,0.4149265768,0.4164228772
Bidar,Bhalki,2.46,0.9745841213,27.88940947,0.9140677288,36.47,17.9906,0.2706115193,0.2520791607
Uttara Kannada,Bhatkal,0.25,0.9974400197,80.09272678,0.7275496041,21.72,16.2193,0.249005665,0.2519562711
Bidar,Bidar,24.23,0.7496583862,46.20049745,0.8486437296,29.89,18.3378,0.1015655096,0.1056433668
Vijayapura,Bijapur,11.21,0.8841639518,41.04314984,0.867070505,18.75,13.0978,0.1024100808,0.1035808556
Bagalkot,Bilagi,3.67,0.9621239273,89.10204727,0.6953600489,28.20,9.1037,0.207243596,0.1946687643
Udupi,Bramhavara,1.03,0.9893914415,56.55633225,0.8116431904,22.72,9.7236,0.06498399385,0.06079693467
Haveri,Byadagi,63.17,0.3475061874,29.67000019,0.9077058258,6.39,9.6676,0.52536358,0.5076947703
Udupi,Bynduru,33.92,0.6495671358,51.59027956,0.8293864849,31.16,24.9291,0.2919818644,0.3157467634
Vijayapura,Chadachana,12.66,0.8692735179,55.54572223,0.8152540162,18.72,15.0335,0.02614316825,0.0261603021
Chitradurga,Challakere,2.54,0.9737746014,56.23358931,0.8127963242,14.39,9.3762,0.2579229455,0.2596650166
Chamarajanagara,Chamarajanagara,57.09,0.4102385759,23.34998338,0.9302867219,5.75,4.795,0.410694477,0.4060658655
Davanagere,Channagiri,79.36,0.1802524683,133.7250859,0.5359256316,13.60,10.1501,0.6492277288,0.651274471
Ramanagara,Channapatna,36.30,0.6249895467,57.56313457,0.8080459692,4.46,3.5469,0.2491333264,0.2470024447
Hassan,Channarayapatna,1.08,0.9888182973,43.69520441,0.8575949339,6.98,5.9617,0.2787356743,0.2874223166
Chikkaballapura,chikballapur,0.00,1,58.72530712,0.803893623,2.72,0.4881,0.1243037728,0.1263568243
Belagavi,Chikkodi,9.78,0.8989283438,39.04518982,0.8742090505,19.94,10.3102,0.1300138779,0.1289743019
Chikkamagaluru,Chikmagalur,11.96,0.8764248157,13.66835765,0.9648783679,8.32,4.2179,0.1191762029,0.1231245388
Tumakuru,Chiknayakanahalli,11.00,0.8863601786,56.32704322,0.8124624211,8.11,4.8912,0.2071018041,0.2172627365
Kalburgi,Chincholi,7.39,0.9236828449,39.2674429,0.8734149587,20.00,20.265,0.2686395922,0.2719243517
Chikkaballapura,Chinthamani,42.52,0.5607653761,114.6876401,0.6039448471,3.59,0.4689,0.4147040849,0.4177377583
Chitradurga,chitradurga,14.00,0.8554110754,47.53956192,0.8438593632,18.79,8.6332,0.2034189162,0.2033594044
Bidar,Chittaguppa,19.01,0.8036612437,22.34169109,0.9338892666,22.02,13.5166,0.08374994699,0.08380588322
Kalburgi,Chittapur,22.35,0.7691104791,205.0809902,0.2809769015,21.41,15.9477,0.3267456973,0.3267896442
Uttara Kannada,Dandelli,50.39,0.4794727977,15.95917854,0.9566934548,23.32,3.5527,0.04243514011,0.04222612901
Davanagere,Davanagere,17.24,0.8219377578,152.5385403,0.4687067187,13.96,5.3352,0.1761365488,0.1851569135
Bengaluru (Rural),Devanahalli,7.54,0.9221347192,106.8075473,0.6320997651,4.40,2.0992,0.2782348309,0.2779163434
Vijayapura,Devara_Hipparagi,23.24,0.7599616821,87.94119914,0.6995076631,23.10,20.415,0.06020180316,0.05778963139
Raichur,Devdurga,72.33,0.2528655997,102.954995,0.6458646152,13.33,21.116,0.502915543,0.5030909033
Dharwad,Dharwad,4.02,0.9584771189,67.95423187,0.77091944,7.37,3.6453,0.3003692437,0.3120735852
Bengaluru (Rural),Doddaballapura,15.68,0.8379772175,26.70190753,0.9183105748,0.68,0.8282,0.1187787345,0.1229930483
Gadag,Gadag,40.07,0.5861286106,68.14693398,0.7702309314,11.94,12.8929,0.1790755006,0.1759393347
Gadag,Gajendragad,13.67,0.8587589029,152.5353121,0.468718253,21.58,25.9791,0.4052447439,0.4137248461
Koppal,Gangavathi,9.46,0.9022335751,48.00683144,0.842189848,17.32,14.9399,0.3356824456,0.3542107924
Chikkaballapura,gauribidanur,13.88,0.856641101,35.77173715,0.8859048255,13.42,7.0784,0.2225909178,0.2263439823
Belagavi,Gokak,2.15,0.9778241703,27.23490105,0.9164062331,25.71,13.2391,0.178721669,0.17434157
Tumakuru,Gubbi,21.68,0.7760180379,111.8591902,0.6140506639,7.99,4.5651,0.1640633616,0.1645563221
Chikkaballapura,gudibande,0.98,0.9899200774,201.8922172,0.2923701231,2.42,0.8802,0.5364170132,0.5369700255
Kalburgi,Gulbarga,21.55,0.7774156911,133.5901613,0.536407706,25.37,17.4549,0.09538616733,0.09820041912
Bagalkot,Guledagudda,10.70,0.8894732964,54.83053913,0.8178093062,26.20,21.614,0.06582245066,0.05453655692
Chamarajanagara,Gundlupet,13.40,0.8615927806,87.96578356,0.699419825,8.99,1.3536,0.1426601853,0.1423487642
Yadgir,Gurumithakala,48.33,0.500801054,6.865923355,0.9891829017,25.64,4.3652,0.3888938733,0.3898662827
Vijayanagara,Hadagali,23.73,0.7549113103,89.99966829,0.6921529235,22.75,11.9057,0.08766441688,0.09026142482
Vijayanagara,Hagaribommanahalli,18.93,0.8044322712,36.06790904,0.8848466279,27.10,16.0232,0.226363359,0.2246475266
Uttara Kannada,Haliyal,37.21,0.6156616184,15.95917854,0.9566934548,15.75,1.9631,0.1145929457,0.1153021007
Haveri,Hangal,22.28,0.7698410189,29.67000019,0.9077058258,25.94,16.1808,0.0844123734,0.0868947244
Vijayanagara,Harapanahalli,11.87,0.8773931457,79.93801877,0.728102363,27.41,12.8509,0.08896237966,0.07949185918
Davanagere,Harihar,22.10,0.7717572401,88.76763295,0.6965548836,35.16,27.8714,0.05468941228,0.06519734141
Hassan,Hassan,6.23,0.9356753963,25.55595904,0.9224049537,8.28,5.7947,0.300880025,0.3072399836
Haveri,Haveri,16.84,0.8260338105,84.86342852,0.7105042823,32.12,19.0719,0.1086877726,0.09784628999
Udupi,Hebri,4.86,0.9498243853,63.82098674,0.7856871822,19.07,11.8644,0.04251572837,0.04087581094
Mysuru,Heggadadevanakote,7.16,0.9260805677,36.00516497,0.8850708073,21.04,9.9656,0.286851468,0.2836016601
Haveri,Hirekerur,5.54,0.9427342009,29.67000019,0.9077058258,11.23,10.6927,0.1373798846,0.1424986493
Chitradurga,hiriyur,8.39,0.9133569482,50.72047122,0.832494238,14.37,5.7521,0.08427129203,0.08553058462
Chitradurga,holalkere,10.32,0.8933488651,121.9084234,0.5781455871,18.16,6.1634,0.2205851947,0.2203915535
Hassan,Holenarasipura,1.18,0.9878007091,43.69520441,0.8575949339,22.97,6.1743,0.1860347609,0.1754663199
Davanagere,Honnali,47.03,0.5142059986,235.1585785,0.1735121721,18.31,9.3772,0.5577530349,0.5603339208
Uttara Kannada,Honnavar,15.38,0.8411105536,15.95917854,0.9566934548,29.44,16.8005,0.1254451746,0.1185683213
Chitradurga,hosadurga,26.07,0.7306530046,88.91066957,0.6960438256,27.42,12.7284,0.2102039794,0.2282534375
Shivamogga,Hosanagar,1.73,0.9820801376,19.99888699,0.9422599114,7.11,3.8697,0.1585109989,0.1699979013
Bengaluru (Rural),Hoskote,3.42,0.9646242717,26.70190753,0.9183105748,8.73,2.6416,0.05021520292,0.04626230209
Vijayanagara,Hospet,15.72,0.8375665808,83.49944852,0.7153776698,28.96,19.3581,0.1103291594,0.1053894508
Dharwad,Hubli,47.05,0.5140259077,212.1868806,0.255588144,9.69,7.081,0.4411698482,0.4392550793
Belagavi,Hukkeri,5.97,0.9383565519,62.97625947,0.7887053227,25.34,15.8628,0.1101575631,0.104235238
Bidar,Hulasuru,46.90,0.515491721,19.52723036,0.9439451015,14.24,6.3547,0.3207559123,0.3047449181
