District,Nitrogen,Phosphorus,Potassium,TotalNPK,Rice_Production,Jowar_Production,Bajra_Production,Maize_Production,Ragi_Production,Wheat_Production,TotalCerealsandMinorMillets_Production,Rice_Yield,Jowar_Yield,Bajra_Yield,Maize_Yield,Ragi_Yield,Wheat_Yield,TotalCerealsandMillets_Yield,Groundnut_Production,Sunflower_Production,Safflower_Production,Castor_Production,Sesamum_Production,Linseed_Production,Soyabean_Production,Nigerseed_Production,TotalOilSeeds_Production,Groundnut_Yield,Sunflower_Yield,Safflower_Yield,Castor_Yield,Linseed_Yield,Soyabean_Yield,Sesamum_Yield,Nigerseed_Yield,TotalOilSeeds_Yield,SowingSeedsDistributed_Paddy,SowingSeedsDistributed_Wheat,SowingSeedsDistributed_Jowar,SowingSeedsDistributed_Ragi,SowingSeedsDistributed_Maize,SowingSeedsDistributed_Bajra,SowingSeedsDistributed_Safflower,SowingSeedsDistributed_Groundnut,SowingSeedsDistributed_Sunflower,SowingSeedsDistributed_Soyabean,RRB_AgricultureLoan,DCCBank_AgricultureLoan,KSCARD_PLDBank_AgricultureLoan
BENGALURU,13519,7415,2376,23310,3376,851,0,2879,62023,0,69153,3660,1539,0,3280,2727,0,2750,71,2,0,31,7,0,0,24,162,890,526,0,645,0,0,563,274,466,19.49,0.0,0.0,65.19,4.45,0.0,0.0,8.25,0.0,0.0,3450.06,923.83,840.78
BENGALURU(R),9819,7757,1683,19259,2354,0,0,42583,80284,0,125232,3824,0,0,3079,2350,0,2575,206,10,0,143,4,0,0,56,479,730,526,0,645,0,0,563,274,469,22.86,0.0,0.0,157.08,134.73,0.0,0.0,10.65,0.0,0.0,10539.94,10040.5,1172.91
RAMANAGARA,5090,1593,789,7472,12128,0,3,10450,136422,0,159008,2444,0,1011,4029,2063,0,2158,4830,1,0,885,521,0,0,95,6414,1378,404,0,931,0,0,400,165,960,1250.28,0.0,0.0,1927.81,260.15,0.0,0.0,217.8,0.0,0.0,9921.94,20868.05,413.86
CHITRADURGA,20375,11971,3538,35884,4566,13301,1085,271975,93320,375,388849,2373,984,673,3117,1718,1484,2335,68575,5750,938,569,2415,0,0,8,78257,597,404,524,922,0,0,760,274,581,989.0,119.0,263.0,3788.0,5004.0,66.0,0.0,32035.0,348.0,0.0,105785.02,17273.65,853.14
DAVANAGERE,54418,33858,11368,99644,489505,23072,794,593544,18774,661,1126753,3770,2167,1339,3431,1640,1860,3445,16592,4524,1,124,26,0,0,49,21327,1007,996,881,645,0,0,731,274,994,732.25,0.0,134.15,808.13,6124.6,11.62,0.0,49693.5,623.1,0.0,80725.12,24202.58,1081.95
KOLAR,11237,7842,3111,22190,864,0,0,1759,66420,0,69089,2644,0,0,3500,1332,0,1361,5810,0,0,35,102,0,0,19,5994,465,0,0,645,0,0,563,274,463,1286.5,0.0,0.0,3523.15,51.5,0.0,0.0,3015.5,0.0,0.0,70194.91,5775.47,1715.02
CHIKKABALLAPURA,14398,10512,3447,28357,2698,0,0,105491,57499,0,165723,3489,0,0,1682,1287,0,1531,7132,102,0,45,0,0,0,2,7341,411,1413,0,645,0,0,0,274,415,1256.0,0.0,0.0,1722.15,3538.15,0.0,0.0,6536.9,0.0,0.0,48782.34,8939.4,1827.19
SHIVAMOGGA,27793,17431,11385,56609,384974,756,2,226532,1067,0,613331,3322,2242,957,3830,1953,0,3487,248,1882,9,1,5,0,0,1,2146,761,2353,881,645,345,0,563,274,1862,15530.94,0.0,1.5,102.75,3814.02,0.0,0.0,30.0,0.0,0.0,69036.55,31135.21,1844.32
TUMAKURU,21285,12325,4538,38148,26042,2652,290,66868,334611,0,431562,2884,1346,906,2496,1982,0,2059,39626,845,0,1692,27,10,0,101,42331,466,603,0,599,345,0,105,170,469,6116.37,0.0,0.0,2458.35,1639.85,2.1,0.0,31094.2,30.0,0.0,104566.89,41077.53,1802.15
CHIKKAMAGALURU,29822,19107,18933,67863,110533,9080,0,61353,52776,0,235695,2884,897,0,2738,1259,0,2043,3909,1479,0,146,2956,1,0,117,8612,848,479,0,645,345,0,519,340,616,2008.75,0.0,848.16,1874.55,2923.79,0.0,0.0,1485.3,79.54,0.0,32999.48,45035.2,1322.43
DAKSHINA KANNADA,6905,4480,7203,18588,132588,0,0,0,0,0,132588,2666,0,0,0,0,0,2666,0,0,0,0,193,0,0,0,193,0,0,0,0,0,0,563,0,564,921.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7881.51,72164.18,1607.63
UDUPI,2857,1412,1879,6148,138156,0,0,109,0,0,138265,2935,0,0,3825,0,0,2935,3623,0,0,0,19,0,0,0,3642,2119,0,0,0,0,0,563,0,2088,2462.0,0.0,0.0,0.0,0.0,0.0,0.0,441.4,0.0,0.0,6859.29,20299.33,783.0
HASSAN,33682,21937,12813,68431,143705,981,0,333937,155899,0,634691,3147,917,0,4213,2206,0,3222,521,697,0,1202,1847,0,0,515,4822,674,808,0,963,0,0,538,278,583,5046.61,0.0,24.87,2708.81,8925.33,0.0,0.0,1.2,7.28,0.0,57943.86,49658.44,1887.6
KODAGU,17517,11768,11662,40947,86303,0,0,17921,0,0,104224,2934,0,0,5359,0,0,3182,45,0,0,0,0,0,0,0,45,667,0,0,0,0,0,0,0,667,2625.15,0.0,0.0,0.0,246.41,0.0,0.0,0.0,0.0,0.0,8146.07,42103.35,597.53
MANDYA,38826,13127,8605,60558,246543,1192,30,19387,100642,0,367794,3868,970,902,4545,1784,0,2927,1021,8,0,409,879,0,0,283,2600,914,702,0,645,0,0,281,299,448,19193.78,0.0,0.0,1264.41,794.03,0.0,0.0,135.0,0.0,0.0,41282.27,52800.92,1902.03
MYSURU,32045,19509,10459,62014,354227,6047,0,137154,85090,0,582518,3550,1104,0,3866,2222,0,3254,2170,762,18,734,2411,4,0,503,6602,874,1149,1198,686,345,0,569,274,645,26721.77,0.0,17.76,393.15,1573.43,0.0,0.0,412.8,13.34,0.0,71615.05,27932.49,1920.94
CHAMARAJANAGAR,11297,6912,5594,23803,45856,4947,424,147886,26997,0,226134,3494,371,1206,4483,1823,0,3030,8867,2388,0,126,210,1,0,33,11625,697,275,0,211,345,0,268,274,508,5059.9,0.0,100.5,1021.85,2054.6,0.0,0.0,3345.9,494.76,0.0,17385.06,11663.67,533.77
BELAGAVI,100099,45042,34851,179992,177552,141459,5726,576758,1208,68727,972447,3118,1200,651,3874,1122,1546,2565,39530,11172,2235,50,138,269,63115,75,116637,1103,761,773,645,369,894,910,315,930,120.1,2682.9,2269.78,0.0,11883.58,203.81,23.64,1581.5,216.86,40862.0,152455.11,132110.75,2785.87
VIJAYAPURA,29057,18614,6557,54228,170,134027,35337,226327,0,57685,453546,3576,974,762,3609,0,1131,1523,27528,21594,1032,0,32,164,0,48,50398,694,386,413,0,200,0,113,274,507,0.0,2321.7,1308.95,0.0,2682.76,200.59,0.0,12918.5,141.4,0.0,120443.2,95766.72,2610.13
BAGALKOT,45558,23326,15928,84812,85,97067,20308,251699,0,41629,410788,3576,966,971,3892,0,1886,1973,25444,21512,360,0,88,405,2580,20,50409,994,547,426,0,241,1084,494,274,719,0.0,3391.8,826.2,0.0,5678.15,400.25,0.0,14970.2,381.68,2611.45,99845.5,118411.49,2464.92
DHARAWAD,20740,13288,3353,37381,33989,42214,5,90634,12,32631,199594,1730,1080,1011,2841,1174,1185,1685,21178,1452,3705,0,186,21,34517,80,61142,821,477,724,0,345,1136,563,274,940,702.5,471.3,3.0,0.0,2471.35,0.0,1.5,1497.9,8.66,14701.45,66491.97,9767.84,2204.33
GADAG,13475,7479,2327,23280,7258,61281,911,138476,11,19388,227348,3738,1025,396,2633,1174,1218,1714,31332,18822,2104,2,232,37,0,87,52621,759,471,1036,645,345,0,668,274,626,0.0,194.0,526.0,0.0,4111.0,64.0,4.0,5999.0,649.0,0.0,71930.38,8813.91,1718.61
HAVERI,37909,21536,5556,65001,125422,36545,0,413487,199,546,577674,2859,1207,0,2937,931,907,2663,18309,5289,753,8,101,25,4017,49,28551,1095,1210,1176,645,345,843,757,274,1062,5410.8,53.0,1093.13,0.0,11325.6,0.0,0.0,3616.0,7.12,8732.2,90729.71,10293.11,2170.74
UTTARA KANNADA,8646,3819,2851,15316,152981,0,0,24088,11,0,177080,2350,0,0,4029,1287,0,2492,3825,40,0,0,0,0,3,0,3868,1915,859,0,0,0,764,0,0,1888,7883.84,0.0,0.0,0.0,1469.2,0.0,0.0,569.4,0.0,0.0,7341.08,62027.69,2287.97
BALLARI,69683,39677,13969,123329,412231,67926,11636,208090,2670,223,703457,3654,1807,787,2493,891,893,2773,45877,12626,36,39,551,0,0,34,59163,881,511,321,645,0,0,464,274,756,6804.25,22.0,245.94,255.6,5718.01,1792.08,0.0,7175.75,90.04,0.0,169520.79,45835.9,1387.56
BIDAR,11858,11012,1788,24658,2036,39965,4125,2791,0,6663,55588,1039,1058,1166,1982,0,1616,1139,261,747,7295,7,601,49,67955,388,77314,796,397,1121,645,345,596,308,350,614,30.0,118.5,243.35,0.0,24.55,17.05,25.39,0.0,30.14,59075.8,30398.27,96797.59,1561.12
KALABURAGI,25926,24196,3877,53999,7888,260499,22742,14621,0,25684,331500,1468,1146,1530,2806,0,1911,1245,3114,22944,2316,48,2849,110,13170,96,44670,800,569,761,645,345,639,677,230,612,63.5,0.0,832.0,0.0,165.0,145.0,0.0,3305.0,129.0,8320.0,126750.15,20900.08,1147.47
YADGIRI,50334,31901,9154,91389,224659,47294,15600,2673,0,1130,291376,2880,1197,1016,3326,0,1101,2162,31435,2097,311,31,34,0,0,0,33911,763,487,586,645,0,0,259,0,734,2558.1,0.0,158.31,0.0,0.0,38.55,0.0,0.0,19.78,0.0,39555.9,11706.94,575.43
RAICHUR,66488,39289,11459,117235,492342,99087,29454,723,0,755,622361,3188,1359,670,2408,0,1211,2286,26958,11766,979,287,173,44,0,0,40207,861,407,886,225,812,0,127,0,628,10936.84,0.0,221.79,0.0,14.35,342.71,0.0,10690.0,287.35,0.0,123016.32,25085.09,532.5
KOPPAL,40809,22592,10151,73552,243505,45402,79917,190252,0,5830,565846,3408,1312,1639,3132,0,966,2523,29982,33604,5570,688,7304,508,0,270,77926,900,724,1361,690,686,0,763,270,811,2373.5,0.0,771.0,0.0,5292.0,1315.0,0.0,2081.0,363.0,0.0,58306.59,11706.94,1480.29
